appId,date,country,lang,predictionLoss
com.app.77385,2024-01-11,br,pt,4532
com.app.19544,2024-01-11,br,pt,140827
com.app.80610,2024-01-11,br,pt,138268
com.app.85381,2024-01-11,br,pt,1807
com.app.48189,2024-01-11,br,pt,1413
com.app.64851,2024-01-11,br,pt,1497
com.app.55057,2024-01-11,br,pt,3485
com.app.19821,2024-01-11,br,pt,28841
com.app.69241,2024-01-11,br,pt,1941
com.app.61743,2024-01-11,br,pt,4461
com.app.80525,2024-01-11,br,pt,5276
com.app.19872,2024-01-11,br,pt,1784
com.app.31404,2024-01-11,br,pt,1400
com.app.97548,2024-01-11,br,pt,5335
com.app.97802,2024-01-11,br,pt,8076
com.app.47188,2024-01-11,br,pt,37638
com.app.21605,2024-01-11,br,pt,4200
com.app.91525,2024-01-11,br,pt,7236
com.app.44002,2024-01-11,br,pt,9880
com.app.11502,2024-01-11,br,pt,1809
com.app.60934,2024-01-11,br,pt,1665
com.app.15493,2024-01-11,br,pt,1400
com.app.60633,2024-01-11,br,pt,10645
com.app.93131,2024-01-11,br,pt,1808
com.app.84714,2024-01-11,br,pt,14822
com.app.21027,2024-01-11,br,pt,5068
com.app.35190,2024-01-11,br,pt,128221
com.app.64776,2024-01-11,br,pt,8561
com.app.31454,2024-01-11,br,pt,1864
com.app.90857,2024-01-11,br,pt,1809
com.app.88509,2024-01-11,br,pt,29713
com.app.20651,2024-01-11,br,pt,1941
com.app.50679,2024-01-11,br,pt,1613
com.app.59245,2024-01-11,br,pt,1825
com.app.18711,2024-01-11,br,pt,2176
com.app.37148,2024-01-11,br,pt,1445
com.app.71740,2024-01-11,br,pt,1463
com.app.34625,2024-01-11,br,pt,2382
com.app.91390,2024-01-11,br,pt,19896
com.app.39929,2024-01-11,br,pt,4941
com.app.90128,2024-01-11,br,pt,1809
com.app.64140,2024-01-11,br,pt,6630
com.app.38566,2024-01-11,br,pt,4952
com.app.72306,2024-01-11,br,pt,7714
com.app.16773,2024-01-11,br,pt,14022
com.app.34610,2024-01-11,br,pt,1925
com.app.27567,2024-01-11,br,pt,2385
com.app.68015,2024-01-11,br,pt,28184
com.app.13421,2024-01-11,br,pt,29745
com.app.41993,2024-01-11,br,pt,4002
com.app.94251,2024-01-11,br,pt,1359
com.app.24438,2024-01-11,br,pt,10945
com.app.91093,2024-01-11,br,pt,15145
com.app.79754,2024-01-11,br,pt,6570
com.app.96037,2024-01-11,br,pt,3152
com.app.13655,2024-01-11,br,pt,1625
com.app.35851,2024-01-11,br,pt,9907
com.app.81778,2024-01-11,br,pt,1809
com.app.43563,2024-01-11,br,pt,4108
com.app.32607,2024-01-11,br,pt,2132
com.app.44541,2024-01-11,br,pt,8143
com.app.15675,2024-01-11,br,pt,3034
com.app.37904,2024-01-11,br,pt,16931
com.app.21603,2024-01-11,br,pt,7347
com.app.98438,2024-01-11,br,pt,1809
com.app.95444,2024-01-11,br,pt,1938
com.app.67629,2024-01-11,br,pt,6386
com.app.14360,2024-01-11,br,pt,1809
com.app.64634,2024-01-11,br,pt,2023
com.app.68942,2024-01-11,br,pt,7310
com.app.64764,2024-01-11,br,pt,1693
com.app.90842,2024-01-11,br,pt,1759
com.app.43242,2024-01-11,br,pt,10082
com.app.74881,2024-01-11,br,pt,1421
com.app.87411,2024-01-11,br,pt,3718
com.app.31679,2024-01-11,br,pt,5601
com.app.55481,2024-01-11,br,pt,3060
com.app.84237,2024-01-11,br,pt,1809
com.app.95243,2024-01-11,br,pt,5587
com.app.50792,2024-01-11,br,pt,1402
com.app.20657,2024-01-11,br,pt,1912
com.app.89034,2024-01-11,br,pt,1809
com.app.28498,2024-01-11,br,pt,93182
com.app.23207,2024-01-11,br,pt,7366
com.app.30329,2024-01-11,br,pt,79507
com.app.88516,2024-01-12,br,pt,8528
com.app.80569,2024-01-12,br,pt,4341
com.app.59849,2024-01-12,br,pt,23091
com.app.93571,2024-01-12,br,pt,137420
com.app.96938,2024-01-12,br,pt,6601
com.app.36612,2024-01-12,br,pt,4935
com.app.72656,2024-01-12,br,pt,7236
com.app.96434,2024-01-12,br,pt,1786
com.app.82889,2024-01-12,br,pt,1965
com.app.86367,2024-01-12,br,pt,2423
com.app.14811,2024-01-12,br,pt,1574
com.app.85803,2024-01-12,br,pt,888
com.app.85231,2024-01-12,br,pt,1710
com.app.78470,2024-01-12,br,pt,3889
com.app.70060,2024-01-12,br,pt,1786
com.app.97988,2024-01-12,br,pt,6103
com.app.48065,2024-01-12,br,pt,22621
com.app.24343,2024-01-12,br,pt,9682
com.app.78762,2024-01-12,br,pt,12651
com.app.97976,2024-01-12,br,pt,9028
com.app.92275,2024-01-12,br,pt,6080
com.app.79907,2024-01-12,br,pt,1417
com.app.78794,2024-01-12,br,pt,150189
com.app.64667,2024-01-12,br,pt,12720
com.app.65216,2024-01-12,br,pt,5553
com.app.78155,2024-01-12,br,pt,1395
com.app.40009,2024-01-12,br,pt,1845
com.app.34656,2024-01-12,br,pt,6978
com.app.21397,2024-01-12,br,pt,9812
com.app.81754,2024-01-12,br,pt,7173
com.app.95194,2024-01-12,br,pt,30381
com.app.37962,2024-01-12,br,pt,8270
com.app.74794,2024-01-12,br,pt,14318
com.app.66274,2024-01-12,br,pt,666
com.app.84679,2024-01-12,br,pt,1786
com.app.92210,2024-01-12,br,pt,4173
com.app.68335,2024-01-12,br,pt,1779
com.app.64353,2024-01-12,br,pt,2310
com.app.22262,2024-01-12,br,pt,5560
com.app.13071,2024-01-12,br,pt,1939
com.app.24391,2024-01-12,br,pt,2182
com.app.96897,2024-01-12,br,pt,3210
com.app.36433,2024-01-12,br,pt,1938
com.app.83359,2024-01-12,br,pt,3693
com.app.36145,2024-01-12,br,pt,13575
com.app.99432,2024-01-12,br,pt,15014
com.app.63770,2024-01-12,br,pt,5622
com.app.54019,2024-01-12,br,pt,4962
com.app.53788,2024-01-12,br,pt,1402
com.app.55537,2024-01-12,br,pt,10250
com.app.55621,2024-01-12,br,pt,18262
com.app.23305,2024-01-12,br,pt,131500
com.app.87209,2024-01-12,br,pt,1957
com.app.37873,2024-01-12,br,pt,14724
com.app.33540,2024-01-12,br,pt,9880
com.app.62109,2024-01-12,br,pt,21299
com.app.41189,2024-01-12,br,pt,82073
com.app.50760,2024-01-12,br,pt,676
com.app.36648,2024-01-12,br,pt,2418
com.app.31153,2024-01-12,br,pt,51804
com.app.19772,2024-01-12,br,pt,5708
com.app.82896,2024-01-12,br,pt,3375
com.app.96361,2024-01-12,br,pt,2084
com.app.38543,2024-01-12,br,pt,6759
com.app.45949,2024-01-12,br,pt,39377
com.app.48916,2024-01-12,br,pt,887
com.app.26790,2024-01-12,br,pt,1744
com.app.88311,2024-01-12,br,pt,2371
com.app.90856,2024-01-12,br,pt,2228
com.app.14509,2024-01-12,br,pt,56961
com.app.31097,2024-01-12,br,pt,6841
com.app.37541,2024-01-12,br,pt,3680
com.app.65327,2024-01-12,br,pt,4673
com.app.60423,2024-01-12,br,pt,6775
com.app.88484,2024-01-12,br,pt,82646
com.app.84594,2024-01-12,br,pt,1937
com.app.88832,2024-01-12,br,pt,4450
com.app.17441,2024-01-12,br,pt,3935
com.app.10626,2024-01-12,br,pt,36692
com.app.39058,2024-01-12,br,pt,1786
